[2020-06-14 20:01:01] LOG:CRITICAL: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'attribute_id' at row 1
[2020-06-14 20:03:13] LOG:CRITICAL: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'attribute_id' at row 1
[2020-06-14 20:05:46] LOG:CRITICAL: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'attribute_id' at row 1
[2020-06-14 20:06:50] LOG:CRITICAL: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'attribute_id' at row 1
[2020-06-14 20:58:46] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
[2020-06-14 21:00:30] LOG:CRITICAL: SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: 'NOW()' for column 'created_at' at row 1
